timestamp;cpu_percent
2025-10-02T09:33:53+02:00;1,32
2025-10-02T09:33:54+02:00;2,73
2025-10-02T09:33:55+02:00;1,57
2025-10-02T09:33:56+02:00;0,91
2025-10-02T09:33:57+02:00;0,99
2025-10-02T09:33:58+02:00;1,74
2025-10-02T09:33:59+02:00;2,73
2025-10-02T09:34:00+02:00;1,16
2025-10-02T09:34:01+02:00;0,91
2025-10-02T09:34:02+02:00;1,15
2025-10-02T09:34:03+02:00;1,24
2025-10-02T09:34:04+02:00;2,58
2025-10-02T09:34:05+02:00;1,75
2025-10-02T09:34:06+02:00;0,91
2025-10-02T09:34:07+02:00;2,02
2025-10-02T09:34:08+02:00;2,94
2025-10-02T09:34:09+02:00;10,46
2025-10-02T09:34:10+02:00;2,86
2025-10-02T09:34:11+02:00;4,67
